Sentence;Expected Annotations;Predicted Annotations;Precision;Recall;F1 Score
"The three Charis or nymph standing facing, left one head right, middle and right one, head left; wearing long garment, left, holding jar in right hand, right in left hand; the middle holding jar in right hand and corn in left hand.";[('Charis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Charis', 'PERSON', 'holding', 'jar', 'OBJECT'), ('Charis', 'PERSON', 'holding', 'corn', 'PLANT')];[('Charis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Charis', 'PERSON', 'holding', 'jar', 'OBJECT'), ('Charis', 'PERSON', 'holding', 'jar', 'OBJECT'), ('Charis', 'PERSON', 'holding', 'corn', 'PLANT')];1.0;1.0;1.0
"Cock standing right, holding worm in beak; in dotted square within incuse square.";[('cock', 'ANIMAL', 'holding', 'worm', 'ANIMAL')];[];0.0;0.0;0.0
"Draped bust of Artemis, right, wearing hair knot; behind, quiver; in front, bow. Border of dots.";[('Artemis', 'PERSON', 'wearing', 'hair knot', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'hair knot', 'OBJECT')];1.0;1.0;1.0
Zeus seated_on on omphalos.;[('Zeus', 'PERSON', 'seated_on', 'omphalos', 'OBJECT')];[('Zeus', 'PERSON', 'seated_on', 'omphalos', 'OBJECT')];1.0;1.0;1.0
"Cybele throne left, wearing kalathos and long garment, holding patera in outstretched right hand, left armresting_on on tympanon, holding scepter; at her foot, two lion seated_on, left. Ground line. Border of dots.";[('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Cybele', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'scepter', 'OBJECT')];[('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Cybele', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'scepter', 'OBJECT')];1.0;1.0;1.0
Labour of Heracles: Nude Heracles standing left, strangling the Nemean lion.;[('Heracles', 'PERSON', 'grasping', 'Nemean Lion', 'ANIMAL')];[];0.0;0.0;0.0
Nude Apollo advancing right, wearing fluttering chlamys, drawing arrow in right hand from bow in left hand.;[('Apollo', 'PERSON', 'wearing', 'chlamys', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'arrow', 'OBJECT')];[('Apollo', 'PERSON', 'wearing', 'chlamys', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'arrow', 'OBJECT')];1.0;1.0;1.0
Athena standing facing, head left, wearing helmet, holding Nike and shield.;[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Athena', 'PERSON', 'holding', 'shield', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Athena', 'PERSON', 'holding', 'shield', 'OBJECT')];1.0;1.0;1.0
Artemis standing facing, head left, wearing long garment, holding an arrow in right hand and torch in left arm.;[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
"Emperor Septimius Severus in military attire standing facing, head left, wearing cuirass and boot, holding Nike in right hand and spear in left hand; behind him Nike standing facing, head left, wearing long garment, crowning emperor with laurel wreath in right hand, holding branch in left arm. Ground line. Border of dots.";[('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Septimius Severus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Nike', 'PERSON', 'wearing', 'garment', 'OBJECT')];[('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Septimius Severus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Nike', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Nike', 'PERSON', 'wearing', 'garment', 'OBJECT')];0.8333333333333334;1.0;0.9090909090909091
Nude Apollo standing facing, head left, holding laurel branch in right hand over inscribed altar, leaning left arm on tripod with serpent coiling left. Ground line. Border of dots.;[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')];1.0;1.0;1.0
"Artemis advancing left, wearing short fluttering chiton and boot, holding bow in right hand andholding arrow from quiver at shoulder with left hand; at her foot, hound advancing left.";[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];1.0;1.0;1.0
Head of Athena, right, wearing Attic helmet. Border of dots.;[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT')];1.0;1.0;1.0
Athena holding stone.;[('Athena', 'PERSON', 'holding', 'stone', 'OBJECT')];[('Athena', 'PERSON', 'holding', 'stone', 'OBJECT')];1.0;1.0;1.0
Wreath bust of lightly bearded Caracalla, right, wearing cuirass and paludamentum. Border of dots.;[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Wreath bust of Gallienus, right, wearing cuirass and paludamentum. Border of dots.;[('Gallienus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Gallienus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Gallienus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Gallienus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Nude Apollo standing left, holding patera in right hand and bow and arrow; at his foot, left, altar.";[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'arrow', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'arrow', 'OBJECT')];1.0;1.0;1.0
"Tower Cybele throne left, holding patera in outstretched right hand, resting left arm on drum; at her foot, two lion seated_on left. Ground line. Border of dots.";[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'drum', 'OBJECT')];[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'drum', 'OBJECT')];1.0;1.0;1.0
Bare-headed bust of Marcus Aurelius, right, wearing cuirass and paludamentum.;[('Marcus Aurelius', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Marcus Aurelius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Marcus Aurelius', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Marcus Aurelius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Artemis standing facing, head left, wearing long garment, holding an arrow in right hand and torch in left arm.;[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
Heracles standing left, wearing lion skin, grasping Hydra coiling around his right leg with left hand, about to strike with club in right hand over her head.;[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'grasping', 'hydra', 'ANIMAL'), ('hydra', 'ANIMAL', 'coiling', 'Heracles', 'PERSON')];[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')];1.0;0.3333333333333333;0.5
Olybrius wearing ribbon.;[('Olybrius', 'PERSON', 'wearing', 'ribbon', 'OBJECT')];[('Olybrius', 'PERSON', 'wearing', 'ribbon', 'OBJECT')];1.0;1.0;1.0
Aequitas holding club.;[('Aequitas', 'PERSON', 'holding', 'club', 'OBJECT')];[];0.0;0.0;0.0
Domitian feeding panther.;[('Domitian', 'PERSON', 'feeding', 'panther', 'ANIMAL')];[];0.0;0.0;0.0
"Poseidon standing left, holding fish in right hand, leftresting_on on trident; right foot on a prow, left.";[('Poseidon', 'PERSON', 'holding', 'fish', 'ANIMAL'), ('Poseidon', 'PERSON', 'resting_on', 'trident', 'OBJECT')];[('Poseidon', 'PERSON', 'holding', 'fish', 'ANIMAL'), ('Poseidon', 'PERSON', 'resting_on', 'trident', 'OBJECT')];1.0;1.0;1.0
"Wreath bust of Severus Alexander, right, wearing cuirass and paludamentum; with aegis on left shoulder.";[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Veil and draped bust of Demeter, right, wearing corn wreath.;[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')];1.0;1.0;1.0
"Nude Capaneus advancing left, his left foot on a low wall; wearing helmet, holding spear in his right hand and shield and ladder in his left arm.";[('Capaneus', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'shield', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'ladder', 'OBJECT')];[('Capaneus', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'shield', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'ladder', 'OBJECT')];1.0;1.0;1.0
Poseidon seated_on right on rock, naked to waist, holding fish, right, in outstretched right hand and trident in left arm over his shoulder.;[('Poseidon', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('Poseidon', 'PERSON', 'holding', 'fish', 'ANIMAL'), ('Poseidon', 'PERSON', 'holding', 'trident', 'OBJECT')];[];0.0;0.0;0.0
Emperor Severus Alexander standing facing, head left, wearing cuirass, fluttering paludamentum and boot, holding patera in outstretched right hand and scepter in left handE.;[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'scepter', 'OBJECT')];[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'scepter', 'OBJECT')];1.0;1.0;1.0
Nude Apollo standing left, holding patera in outstretched right hand and bow in left hand.;[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT')];1.0;1.0;1.0
Nude bearded Heracles standing facing, head left, holding club in right hand and cantharus in left hand, lion skin over left arm. Ground line. Border of dots.;[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'cantharus', 'OBJECT')];[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')];0.6666666666666666;1.0;0.8
Emperor Gordian in military attire seated_on right on horse, wearing cuirass and fluttering paludamentum, holding spear in right hand towards a captive in front of him.;[('Gordian', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Gordian', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Gordian', 'PERSON', 'holding', 'spear', 'OBJECT')];[];0.0;0.0;0.0
"Radiate bust of Trebonianus Gallus, left, wearing cuirass; holding spear in right hand and shield on left shoulder.";[('Trebonianus Gallus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Trebonianus Gallus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Trebonianus Gallus', 'PERSON', 'holding', 'shield', 'OBJECT')];[('Trebonianus Gallus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Trebonianus Gallus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Trebonianus Gallus', 'PERSON', 'holding', 'shield', 'OBJECT')];1.0;1.0;1.0
Veil Demeter seated_on left on basket, wearing corn wreath and long garment, holding two corn in right hand, leftresting_on on long torch.;[('Demeter', 'PERSON', 'seated_on', 'basket', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'seated_on', 'basket', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];1.0;1.0;1.0
Zeus standing facing, head left, naked to waist, holding thunderbolt in outstretched right hand, leftresting_on on long scepter. Ground line. Border of dots.;[('Zeus', 'PERSON', 'holding', 'thunderbolt', 'OBJECT'), ('Zeus', 'PERSON', 'resting_on', 'scepter', 'OBJECT')];[('Zeus', 'PERSON', 'holding', 'thunderbolt', 'OBJECT'), ('Zeus', 'PERSON', 'resting_on', 'scepter', 'OBJECT')];1.0;1.0;1.0
Heracles standing left, leaning on club set on rock, holding lion skin in left arm.;[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')];[('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')];0.5;0.5;0.5
Dionysus seated_on right, holding an object in left hand and grape vine in right hand, which grows from the background in the right field.;[('Dionysus', 'PERSON', 'holding', 'object', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'grape', 'PLANT'), ('Dionysus', 'PERSON', 'holding', 'vine', 'PLANT')];[];0.0;0.0;0.0
"Roma seated_on left on cuirass, holding Nike, standing right, in outstretched right hand and spear in left arm; behind her, shield. Ground line. Border of dots.";[('Roma', 'PERSON', 'seated_on', 'cuirass', 'OBJECT'), ('Roma', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Roma', 'PERSON', 'holding', 'spear', 'OBJECT')];[('Roma', 'PERSON', 'seated_on', 'cuirass', 'OBJECT'), ('Roma', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Roma', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Roma', 'PERSON', 'holding', 'shield', 'OBJECT')];0.75;1.0;0.8571428571428571
Demeter standing facing, head left, holding corn in right hand and short torch in left arm.;[('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
"Emperor Caracalla in military attire, standing facing, head left, wearing cuirass, flattering paludamentum and boot, holding Nike on globe with laurel wreath and branch in right hand, resting raised left on scepter; to left, captive, seated_on left, wearing Phrygian cap.";[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Nike', 'PERSON', 'resting_on', 'scepter', 'OBJECT')];[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Nike', 'PERSON', 'resting_on', 'scepter', 'OBJECT')];1.0;1.0;1.0
"Artemis Tauropolos advancing right, hair bound at her neck, wearing short chiton, cloak and boot, holding a torch in each hand; in the left hand torch upright. Short ground line. Border of dots.";[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'cloak', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'cloak', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
Bearded river-god Hebros resting_on left, holding three corn in right hand, resting right arm on right leg andresting_on left arm on water urn.;[('Hebros', 'PERSON', 'holding', 'corn', 'PLANT'), ('Hebros', 'PERSON', 'resting_on', 'water urn', 'OBJECT')];[('Hebros', 'PERSON', 'holding', 'corn', 'PLANT')];1.0;0.5;0.6666666666666666
"Athena Nikephoros throne left, holding Nike in outstretched right hand, left armresting_on on shield behind; in background, transverse spear; in exergue, ornate trident to left; in inner left field, monogram; on throne, monogram.";[('Athena', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];[('Athena', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];1.0;1.0;1.0
Seleucus Iresting_on on rock.;[('Seleucus I', 'PERSON', 'resting_on', 'rock', 'OBJECT')];[];0.0;0.0;0.0
Veil Demeter seated_on left on basket, wearing corn wreath and long garment, holding two corn in right hand, leftresting_on on long torch.;[('Demeter', 'PERSON', 'seated_on', 'basket', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'seated_on', 'basket', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];1.0;1.0;1.0
"At left, statue of Artemis of Ephesos standing facing, next to her headdress at left a crescent, at right a star with eight ray, at her foot to left a deer standing right and at right a second deer standing left; at right, Homonoia standing facing, head left, holding patera in her right hand over a lighted altar and a cornucopia in left arm. Gorund line. Border of dots.";[('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')];[('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')];1.0;1.0;1.0
Emperor Severus Alexander in military attire seated_on right on horse, covered with panther fur, wearing cuirass, fluttering paludamentum and boot, holding transverse spear in lowered right hand towards a captive in front of him seated_on left with Phrygian cap and bound arm behind back.;[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'spear', 'OBJECT')];[];0.0;0.0;0.0
"Cybele throne left, wearing kalathos and long garment, holding patera in outstretched right hand, left armresting_on on tympanon, holding scepter; at her foot, two lion seated_on, left. Ground line. Border of dots.";[('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Cybele', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'scepter', 'OBJECT')];[('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Cybele', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'scepter', 'OBJECT')];1.0;1.0;1.0
Domitian wearing belt.;[('Domitian', 'PERSON', 'wearing', 'belt', 'OBJECT')];[('Domitian', 'PERSON', 'wearing', 'belt', 'OBJECT')];1.0;1.0;1.0
"Athena standing right, wearing helmet and chiton, in left arm spear and shield; with the right handholding a tree entwined by serpent. Border of dots.";[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'tree', 'PLANT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'tree', 'PLANT')];1.0;1.0;1.0
