Sentence;Expected Annotations;Predicted Annotations;Precision;Recall;F1 Score
"Nude Dionysus standing facing, head left, wearing boot, holding cantharus in right hand over altar; pelleted and filleted thyrsus in left arm; at left, star with six ray.";[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];1.0;1.0;1.0
"Bearded river-god Hebros resting_on left, resting left arm on water urn, setting right arm on prow; vine behind his back. Border of dots.";[('Hebros', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('Hebros', 'PERSON', 'resting_on', 'prow', 'OBJECT')];[('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('Hebros', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('Hebros', 'PERSON', 'resting_on', 'prow', 'OBJECT')];0.6666666666666666;1.0;0.8
Woman head, left, wearing diadem and necklace.;[('woman', 'PERSON', 'wearing', 'diadem', 'OBJECT'), ('woman', 'PERSON', 'wearing', 'necklace', 'OBJECT')];[];0.0;0.0;0.0
Athena standing facing, head left, wearing helmet and long garment, resting right hand on shield, holding long scepter in left hand. Ground line. Border of dots.;[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT')];1.0;1.0;1.0
"Nude Dionysus standing facing, head left, wearing ivy wreath and boot, holding cantharus in right hand and filleted thyrsus in left arm; at left, a panther seated_on left, head right, with raised forepaw. Ground line. Border of dots.";[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];0.75;1.0;0.8571428571428571
Nude Apollo standing facing, head left, holding laurel branch in right hand andresting_on left with bow on tripod with serpent coiling. Ground line. Border of dots.;[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT')];1.0;1.0;1.0
Emperor Caracalla in military attire seated_on left on horse, wearing cuirass and fluttering paludamentum, holding inverted spear in left hand.;[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'double spear', 'OBJECT')];[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Wreath bust of Caracalla, right, wearing cuirass and paludamentum. Linear border.;[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Empress Faustina Minor as priestess standing facing, head left, holding patera in outstretched right hand over altar and short scepter in left arm.;[('Faustina Minor', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Faustina Minor', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"The three Charis or nymph standing facing, left one head right, middle and right one, head left; wearing long garment, left, holding jar in right hand, right in left hand; the middle holding jar in right hand and corn in left hand.";[('Charis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Charis', 'PERSON', 'holding', 'jar', 'OBJECT')];[('Charis', 'PERSON', 'wearing', 'garment', 'OBJECT')];1.0;1.0;1.0
"Cybele resting_on left on lion prancing right, wearing kalathos, holding tympanon in right hand, leftresting_on on scepter; to right in background, Corybant with helmet dancing, holding a shield in raised right hand and a short lit torch in left arm. Ground line. Border of dots.";[('Cybele', 'PERSON', 'resting_on', 'bukephalion', 'OBJECT'), ('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Corybant', 'PERSON', 'holding', 'shield', 'OBJECT'), ('Corybant', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'shield', 'OBJECT'), ('Cybele', 'PERSON', 'holding', 'torch', 'OBJECT')];0.3333333333333333;1.0;0.5
"Façade of a tetrastyle temple on crepidoma, acroteria and antefix along roof; shield on pediment; within Asclepius standing facing, head left, holding serpent staff in right hand.";[('Asclepius', 'PERSON', 'holding', 'serpent staff', 'OBJECT')];[('Asclepius', 'PERSON', 'holding', 'serpent staff', 'OBJECT')];1.0;1.0;1.0
Bare-headed bust of youthful, lightly bearded Marcus Aurelius, right, wearing paludamentum.;[('Marcus Aurelius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Marcus Aurelius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Emperor Caracalla in military attire seated_on right on horse, wearing cuirass and fluttering paludamentum, holding spear in right hand.;[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'double spear', 'OBJECT')];[];0.0;0.0;0.0
"Orpheus und Eurydice; in the middle, veil Euridice standing facing, head left, wearing long garment; to left, nude Orpheus standing facing, head right, holding patera in outstretched right hand and Euridice with left hand; to right, nude Hermes standing facing, head left, holding Euridice with right hand; two river-god resting_on right and left, holding reed; in exergue, river-god resting_on right, holding reed in left arm. Ground line. Border of dots.";[('Orpheus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('river-god', 'PERSON', 'holding', 'reed', 'PLANT'), ('river-god', 'PERSON', 'holding', 'reed', 'PLANT')];[('Hermes', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Hermes', 'PERSON', 'holding', 'reed', 'PLANT')];0.0;0.0;0.0
"Anubis advancing right, holding branch with right hand over shoulder; in field to left monogram; to right emblem of two conjoined forepart of prancing horse to right and left. Short ground line.";[('Anubis', 'PERSON', 'holding', 'palm branch', 'OBJECT')];[];0.0;0.0;0.0
"Artemis advancing right, wearing short fluttering chiton, fluttering cloak and boot, holding bow in left hand andholding arrow from quiver at shoulder with right hand; at her foot, hound advancing right. Ground line. Border of dots.";[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'cloak', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'cloak', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];1.0;1.0;1.0
"Nude Heraclesseated_on left on rock, his right hand outstretched, leftresting_on on rock; at left, half-naked nymph standing facing, head right, holding a bow in both hand.";[('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'bow', 'OBJECT')];[];0.0;0.0;0.0
Poseidon seated_on right on rock, naked to waist, holding aplustre in outstretched right hand and trident in left arm over his shoulder.;[('Poseidon', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('Poseidon', 'PERSON', 'holding', 'aplustre', 'OBJECT'), ('Poseidon', 'PERSON', 'holding', 'trident', 'OBJECT')];[];0.0;0.0;0.0
Hygieia standing right, feeding serpent held in right arm from patera in outstretched left hand. Ground line.;[('Hygieia', 'PERSON', 'feeding', 'serpent staff', 'OBJECT')];[];0.0;0.0;0.0
Veil Demeter standing facing, head left, wearing long garment, holding two corn in lowered right hand over cista mystica with half-open lid, out of which two serpent creep left, and long torch entwined by serpent in left arm. Ground line.;[('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];0.5;1.0;0.6666666666666666
Veil Demeter standing facing, head left, holding two corn and poppy in raised right hand and short lighted torch in left arm. Ground line. Border of dots.;[('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT')];1.0;1.0;1.0
Dionysus seated_on facing, head right, on panther advancing right, holding thyrsus in left arm, resting right arm on panther.;[('Dionysus', 'PERSON', 'seated_on', 'panther', 'ANIMAL'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT'), ('Dionysus', 'PERSON', 'resting_on', 'panther', 'ANIMAL')];[('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT'), ('Dionysus', 'PERSON', 'resting_on', 'panther', 'ANIMAL')];1.0;1.0;1.0
Nude Ares standing facing, head right, wearing crested helmet, holding inverted spear in right hand and parazonium in left arm.;[('Ares', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'double spear', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'parazonium', 'OBJECT')];[('Ares', 'PERSON', 'wearing', 'helmet', 'OBJECT')];1.0;1.0;1.0
Emperor Caracalla in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boot, holding patera in outstretched right hand over lighted and garland altar, leftresting_on on scepter. Ground line. Border of dots.;[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
Wreath bust of Maximinus Thrax, right, wearing cuirass and paludamentum.;[('Maximinus Thrax', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Maximinus Thrax', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Maximinus Thrax', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Maximinus Thrax', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Veil Demeter throne left, wearing long garment, holding three corn and poppy in lowered right hand, leftresting_on on long torch. Border of dots.;[('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];0.5;1.0;0.6666666666666666
Head of bearded Geta wearing laurel wreath to right. Border of dots.;[('Geta', 'PERSON', 'wearing', 'laurel wreath', 'OBJECT')];[('Geta', 'PERSON', 'wearing', 'laurel wreath', 'OBJECT')];1.0;1.0;1.0
Athena advancing right, wearing taenia and long garment, holding crested Corinthian helmet in right hand and transverse spear in left hand.;[('Athena', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'double spear', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'helmet', 'OBJECT')];1.0;1.0;1.0
"Nude Dionysus standing facing, head left, wearing boot, holding cantharus in right hand over altar; pelleted thyrsus in left arm; at left, star with six ray.";[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')];1.0;1.0;1.0
Head of youthful Dionysus, right, wearing taenia and ivy wreath with five leaf and two rosette. Hair dress rolled in the back and with two curls falling on his back.;[('Dionysus', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')];1.0;1.0;1.0
"Apollo standing left, holding patera and lyre set on palm; at his foot, left, eagle.";[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'lyre', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'lyre', 'OBJECT')];1.0;1.0;1.0
"Zeus standing left, wearing long garment; holding patera and scepter; at his foot left eagle with spread out wing standing left, head right.";[('Zeus', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Zeus', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Zeus', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
Veil Demeter standing facing, head left, wearing corn wreath and long garment, holding two corn in outstretched right hand, leftresting_on on long torch.;[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];1.0;1.0;1.0
Cybele seated_on on lion prancing right, wearing kalathos, holding tympanon in right hand, leftresting_on on scepter. Ground line. Border of dots.;[('Cybele', 'PERSON', 'seated_on', 'bukephalion', 'OBJECT'), ('Cybele', 'PERSON', 'wearing', 'kalathos', 'OBJECT')];[];0.0;0.0;0.0
Bald and bearded Silenus kneeling left, holding cantharus in right hand, left hand on hip.;[('Silenus', 'PERSON', 'holding', 'cantharus', 'OBJECT')];[];0.0;0.0;0.0
Wreath bust of Septimius Severus, right, wearing paludamentum.;[('Septimius Severus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Septimius Severus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Façade of a hexastyle temple with three pediment; within Dionysus standing right, holding bunch of grape in right hand and thyrsus in left arm. Border of dots.";[('Dionysus', 'PERSON', 'holding', 'grape', 'PLANT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'holding', 'grape', 'PLANT')];1.0;1.0;1.0
"Nude Dionysus standing facing, head left, wearing boot, holding patera in outstretched right hand over cista mystica with half-open lid on the right, out of which serpent creeps right; pelleted thyrsus in left arm.";[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('thyrsus', 'OBJECT', 'holding', 'patera', 'OBJECT')];0.6666666666666666;1.0;0.8
Head of youthful Dionysus, right, wearing taenia and ivy wreath with five leaf and two fruit. Hair dress rolled in the back and with two curls falling on his back.;[('Dionysus', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')];1.0;1.0;1.0
Veil Demeter seated_on left cista mystica with half-open lid, out of which serpent creeps right, wearing corn wreath, holding a poppy between two corn in right hand, leftresting_on on long torch. Border of dots.;[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];1.0;1.0;1.0
"Head of Demeter, right, wearing earring and necklace; below, grain.";[('Demeter', 'PERSON', 'wearing', 'earring', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'earring', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'necklace', 'OBJECT')];0.5;1.0;0.6666666666666666
Zeus standing facing, head left, naked to waist, holding thunderbolt in lowered right hand, leftresting_on on long scepter. Ground line.;[('Zeus', 'PERSON', 'holding', 'thunderbolt', 'OBJECT')];[('Zeus', 'PERSON', 'holding', 'thunderbolt', 'OBJECT')];1.0;1.0;1.0
Confronted bust of Gordian, wreath, wearing paludamentum, and of Tranquillina, diadem and draped.;[('Gordian', 'PERSON', 'wearing', 'cuirass', 'OBJECT')];[('Gordian', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];0.0;0.0;0.0
Nude Eros in attitude of Thanatos standing left, legs crossed, resting on torch set on altar.;[('Eros', 'PERSON', 'resting_on', 'altar', 'OBJECT')];[];0.0;0.0;0.0
"Radiate and togate emperor Severus Alexander in standing in quadriga, right, holding an aplustre in right hand and a scepter in left arm; behind him Nike standing right on chariot basket, crowning emperor with laurel wreath in right hand, holding branch in left arm.";[('Severus Alexander', 'PERSON', 'standing', 'quadriga', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'aplustre', 'OBJECT'), ('Athena', 'PERSON', 'standing', 'basket', 'OBJECT'), ('Athena', 'PERSON', 'crowning', 'emperor', 'PERSON')];[];0.0;0.0;0.0
Cuirass bust of youthful Diadumenian, right, wearing paludamentum.;[('Diadumenian', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Diadumenian', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Wreath bust of Commodus, right, wearing paludamentum.;[('Commodus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Commodus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Wreath bust of Gordian, right, wearing cuirass, seen from front, slight drapery over left shoulder; gorgoneion on breastplate.";[('Gordian', 'PERSON', 'wearing', 'cuirass', 'OBJECT')];[('Gordian', 'PERSON', 'wearing', 'cuirass', 'OBJECT')];1.0;1.0;1.0
River-god resting_on left, holding reed and cornucopia in raised right hand, resting left arm on water urn.;[('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('river-god', 'PERSON', 'holding', 'reed', 'PLANT'), ('river-god', 'PERSON', 'holding', 'cornucopia', 'OBJECT')];[];0.0;0.0;0.0
"Bull standing left on dolphin, left, raising right forehoof; below, monograms in a wreath bound at bottom and under the bull.";[('Apis bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')];[];0.0;0.0;0.0
Hera throne left, wearing long garment, comprising peacock seated_on on her left hip with right arm, leftresting_on on long scepter.;[('Hera', 'PERSON', 'wearing', 'garment', 'OBJECT')];[];0.0;0.0;0.0
Dionysus standing facing, head left, holding uncertain object in outstretched right hand and long thyrsus in left hand.;[('Dionysus', 'PERSON', 'holding', 'object', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'holding', 'object', 'OBJECT')];1.0;1.0;1.0
Eagle standing facing on table, head left, wing spread, holding a wreath in beak, round altar below.;[('eagle-sceptre', 'OBJECT', 'holding', 'corn wreath', 'OBJECT')];[];0.0;0.0;0.0
Ares standing facing, head right, wearing cuirass, boot and crested helmet, holding spear in right hand and parazonium in left hand.;[('Ares', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Ares', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Ares', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'double spear', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'parazonium', 'OBJECT')];[('Ares', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Ares', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Ares', 'PERSON', 'wearing', 'helmet', 'OBJECT')];1.0;1.0;1.0
Bare-headed bust of youthful Diadumenian, right, wearing paludamentum.;[('Diadumenian', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Diadumenian', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Nude bearded Heracles standing left, wearing lion skin, grasping with right knee the lowered hind quarters of the lying Cerynean hind, holding animal by antlers in both hand; in front of his right foot, club lying to right. Border of dots.";[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')];[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')];1.0;1.0;1.0
Emperor Severus Alexander in military attire seated_on right on horse, wearing cuirass, fluttering paludamentum and boot, brandishing transverse spear in raised right hand towards lion advancing right, head left.;[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'double spear', 'OBJECT')];[];0.0;0.0;0.0
